,County,Population
0,Anderson,57922
1,Andrews,18610
2,Angelina,86395
3,Aransas,23830
4,Archer,8560
5,Armstrong,1848
6,Atascosa,48981
7,Austin,30167
8,Bailey,6904
9,Bandera,20851
10,Bastrop,97216
11,Baylor,3465
12,Bee,31047
13,Bell,370647
14,Bexar,2009324
15,Blanco,11374
16,Borden,631
17,Bosque,18235
18,Bowie,92893
19,Brazoria,373031
20,Brazos,233849
21,Brewster,9546
22,Briscoe,1435
23,Brooks,7076
24,Brown,38095
25,Burleson,17642
26,Burnet,49130
27,Caldwell,45883
28,Calhoun,20106
29,Callahan,13708
30,Cameron,421017
31,Camp,12464
32,Carson,5807
33,Cass,28454
34,Castro,7371
35,Chambers,46571
36,Cherokee,50412
37,Childress,6664
38,Clay,10218
39,Cochran,2547
40,Coke,3285
41,Coleman,7684
42,Collin,1064465
43,Collingsworth,2652
44,Colorado,20557
45,Comal,16501
46,Comanche,13594
47,Concho,3303
48,Cooke,41668
49,Coryell,83093
50,Cottle,1380
51,Crane,4675
52,Crockett,3098
53,Crosby,5133
54,Culberson,2188
55,Dallam,7115
56,Dallas,2613539
57,Dawson,12456
58,Deaf Smith,18583
59,Delta,5230
60,Denton,906422
61,De Witt,19824
62,Dickens,1770
63,Dimmit,8615
64,Donley,3258
65,Duval,9831
66,Eastland,17725
67,Ector,165171
68,Edwards,1422
69,Ellis,192455
70,El Paso,865657
71,Erath,42545
72,Falls,16968
73,Fannin,35662
74,Fayette,24435
75,Fisher,3672
76,Floyd,5402
77,Foard,1095
78,Fort Bend,822779
79,Franklin,10359
80,Freestone,19435
81,Frio,18385
82,Gaines,21598
83,Galveston,350682
84,Garza,5816
85,Gillespie,26725
86,Glasscock,1116
87,Goliad,7012
88,Gonzales,19653
89,Gray,21227
90,Grayson,135543
91,Gregg,124239
92,Grimes,29268
93,Guadalupe,172706
94,Hale,32522
95,Hall,2825
96,Hamilton,8222
97,Hansford,5285
98,Hardeman,3549
99,Hardin,56231
100,Harris,4731145
101,Harrison,68839
102,Hartley,5382
103,Haskell,5416
104,Hays,241067
105,Hemphill,3382
106,Henderson,82150
107,Hidalgo,870781
108,Hill,35874
109,Hockley,21537
110,Hood,61598
111,Hopkins,36787
112,Houston,22066
113,Howard,34860
114,Hudspeth,3202
115,Hunt,99956
116,Hutchinson,20617
117,Irion,1513
118,Jack,8472
119,Jackson,14988
120,Jasper,32980
121,Jeff Davis,1996
122,Jefferson,256526
123,Jim Hogg,4838
124,Jim Wells,38891
125,Johnson,179927
126,Jones,19663
127,Karnes,14710
128,Kaufman,145310
129,Kendall,44279
130,Kenedy,350
131,Kent,753
132,Kerr,52598
133,Kimble,4286
134,King,265
135,Kinney,3129
136,Kleberg,31040
137,Knox,3353
138,Lamar,50088
139,Lamb,13045
140,Lampasas,21627
141,La Salle,6664
142,Lavaca,20337
143,Lee,17478
144,Leon,15719
145,Liberty,91628
146,Limestone,22146
147,Lipscomb,3059
148,Live Oak,11335
149,Llano,21243
150,Loving,64
151,Lubbock,310639
152,Lynn,5596
153,McCulloch,7630
154,McLennan,260579
155,McMullen,600
156,Madison,13455
157,Marion,9725
158,Martin,5237
159,Mason,3953
160,Matagorda,36255
161,Maverick,57887
162,Medina,50748
163,Menard,1962
164,Midland,169983
165,Milam,24754
166,Mills,4456
167,Mitchell,8990
168,Montague,19965
169,Montgomery,620443
170,Moore,21358
171,Morris,11973
172,Motley,1063
173,Nacogdoches,64653
174,Navarro,52624
175,Newton,12217
176,Nolan,14738
177,Nueces,353178
178,Ochiltree,10015
179,Oldham,1758
180,Orange,84808
181,Palo Pinto,28409
182,Panola,22491
183,Parker,148222
184,Parmer,9869
185,Pecos,15193
186,Polk,50123
187,Potter,118525
188,Presidio,6131
189,Rains,12164
190,Randall,140753
191,Reagan,3385
192,Real,2758
193,Red River,11587
194,Reeves,14748
195,Refugio,6741
196,Roberts,827
197,Robertson,16757
198,Rockwall,107819
199,Runnels,9900
200,Rusk,52214
201,Sabine,9894
202,San Augustine,7918
203,San Jacinto,27402
204,San Patricio,68755
205,San Saba,5730
206,Schleicher,2451
207,Scurry,16932
208,Shackelford,3105
209,Shelby,24022
210,Sherman,2782
211,Smith,233479
212,Somervell,9205
213,Starr,65920
214,Stephens,9101
215,Sterling,1372
216,Stonewall,1245
217,Sutton,3372
218,Swisher,6971
219,Tarrant,2110640
220,Taylor,143208
221,Terrell,760
222,Terry,11831
223,Throckmorton,1440
224,Titus,31247
225,Tom Green,120003
226,Travis,1290188
227,Trinity,13602
228,Tyler,19798
229,Upshur,40892
230,Upton,3308
231,Uvalde,24564
232,Val Verde,47586
233,Van Zandt,59541
234,Victoria,91319
235,Walker,76400
236,Waller,56794
237,Ward,11644
238,Washington,35805
239,Webb,267114
240,Wharton,41570
241,Wheeler,4990
242,Wichita,129350
243,Wilbarger,12887
244,Willacy,20164
245,Williamson,609017
246,Wilson,49753
247,Winkler,7791
248,Wise,68632
249,Wood,44843
250,Yoakum,7694
251,Young,17867
252,Zapata,13889
253,Zavala,9670
